i,j,lag,group_i,group_j,slope,intercept,adf_p,ou_hl,fA_sharpe,fA_pnl,fB_sharpe,fB_pnl,min_fold_sharpe,combined_pnl,combined_sharpe,sharpe_x_sqrt_pnl
SLEEP_POD_POLYESTER,UV_VISOR_AMBER,1,sleep_pod,uv_visor,-0.9225733259659192,19139.766267343028,0.0032445310998107,814.2867973310238,2.314739645633913,1992.253491977728,1.778417770258076,1616.795088562092,1.778417770258076,3609.04858053982,2.0465787079459945,122.94894756218268
SLEEP_POD_POLYESTER,UV_VISOR_AMBER,5,sleep_pod,uv_visor,-0.922343009134443,19138.28450459743,0.0048308810675538,814.1458192235326,2.2025954078941496,1927.6907019773823,1.8240209237526193,1648.307389843465,1.8240209237526193,3575.9980918208475,2.0133081658233847,120.39512284528102
ROBOT_IRONING,PEBBLES_M,20,robot,pebbles,-0.915377205267104,18095.13357057347,0.0096834506003697,815.2454698800211,1.1645479023158911,1330.4052623948628,1.8883386144671237,2244.277620839399,1.1645479023158911,3574.6828832342617,1.5264432583915073,91.26398445786546
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_S,100,galaxy_sounds,pebbles,-1.021242968917232,20597.39085500036,0.006175297660089,766.0045862029239,1.7637577195788936,1798.255705857453,1.1505705721060788,1698.3496255035952,1.1505705721060788,3496.6053313610482,1.4571641458424862,86.16517698579152
PANEL_2X4,PEBBLES_XL,100,panel,pebbles,0.3075234552606712,7205.10780576041,0.000625966654601,601.0237294063318,2.058800097657468,2241.216533583234,1.0870130027181255,1154.45841661984,1.0870130027181255,3395.6749502030743,1.5729065501877968,91.6570713501069
GALAXY_SOUNDS_SOLAR_WINDS,PANEL_1X4,100,galaxy_sounds,panel,-0.5393360567523138,15507.580615623154,0.015627463223759,922.2975645092606,1.907171133482683,1332.5043207924557,2.573735227289337,2044.7735342953565,1.907171133482683,3377.277855087812,2.2404531803860097,130.20248373720054
PEBBLES_S,OXYGEN_SHAKE_GARLIC,100,pebbles,oxygen_shake,-0.7718228093270282,18127.722946312624,0.0036715363104473,724.8548770001651,1.6467463442826162,1458.9466997744912,1.5069030203317388,1887.216419189781,1.5069030203317388,3346.163118964272,1.5768246823071776,91.21304695344747
OXYGEN_SHAKE_MORNING_BREATH,PEBBLES_M,20,oxygen_shake,pebbles,-0.8133370455047219,18347.658580190815,0.0011838109854168,622.6528014060295,0.9526753792682104,1094.1480015854304,2.5113653275669243,2240.025657349197,0.9526753792682104,3334.1736589346274,1.7320203534175673,100.01084559684426
GALAXY_SOUNDS_SOLAR_WINDS,PANEL_1X4,1,galaxy_sounds,panel,-0.5376632969240946,15490.29577772381,0.0157292515635392,940.7829274965036,1.8566577790596763,1304.299173735115,2.425757835734054,2028.7703596133215,1.8566577790596763,3333.0695333484364,2.141207807396865,123.61779855278472
GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_S,20,galaxy_sounds,pebbles,-1.0189105238060594,20569.713281920063,0.0116195159260354,833.9397901821977,1.4356718703201132,1557.5704219059407,1.2092817454234712,1763.6707556159015,1.2092817454234712,3321.2411775218425,1.3224768078717921,76.2146169939668
OXYGEN_SHAKE_MORNING_BREATH,PEBBLES_M,1,oxygen_shake,pebbles,-0.813961727499422,18354.328611592795,0.0008848889489591,615.8888053680149,0.93069747190564,1087.0423417524123,2.672747830585467,2197.1167585604,0.93069747190564,3284.1591003128124,1.8017226512455533,103.25237086671879
