pair_idx,rank_in_ranking,a,b,slope,intercept,day2_pnl,day3_pnl,day4_pnl,total_3day,fold_min,fold_median,fold_mean,sharpe_3day,elapsed_s,delta_total,delta_fold_min,delta_fold_median,delta_day2,delta_day3,delta_day4
149,141,SNACKPACK_PISTACHIO,OXYGEN_SHAKE_GARLIC,-0.1484589103249383,11265.790003553157,520259,465320,450541,1436120,450541,465320,473352.0,13.0309,37.210583209991455,96,62,0,34,0,62
127,119,SNACKPACK_PISTACHIO,OXYGEN_SHAKE_GARLIC,-0.147048651893191,11246.923572730424,520259,465320,450541,1436120,450541,465320,473352.0,13.0309,40.86907196044922,96,62,0,34,0,62
151,143,SNACKPACK_PISTACHIO,OXYGEN_SHAKE_GARLIC,-0.1486988048797005,11269.04018668241,520259,465320,450541,1436120,450541,465320,473352.0,13.0309,40.60855197906494,96,62,0,34,0,62
152,144,SNACKPACK_PISTACHIO,PEBBLES_XS,0.0992245921450982,8761.100229781694,520750,464342,450961,1436053,450961,464342,472947.4,12.9237,38.52678894996643,29,482,-978,525,-978,482
153,145,SNACKPACK_PISTACHIO,PEBBLES_XS,0.0990708884172029,8761.845169065487,520750,464342,450961,1436053,450961,464342,472947.4,12.9237,36.91914892196655,29,482,-978,525,-978,482
154,146,SNACKPACK_PISTACHIO,PEBBLES_XS,0.098254940173902,8766.249843462334,520750,464342,450961,1436053,450961,464342,472947.4,12.9237,52.12275505065918,29,482,-978,525,-978,482
156,148,SNACKPACK_PISTACHIO,PEBBLES_XS,0.0991917004079643,8761.259267734029,520750,464342,450961,1436053,450961,464342,472947.4,12.9237,43.86147093772888,29,482,-978,525,-978,482
112,104,MICROCHIP_CIRCLE,OXYGEN_SHAKE_CHOCOLATE,0.7885667589069544,1678.6708134586934,520225,465320,450479,1436024,450479,465320,473332.8,13.0284,47.974515199661255,0,0,0,0,0,0
113,105,MICROCHIP_CIRCLE,OXYGEN_SHAKE_CHOCOLATE,0.7881501389699975,1682.6338954266732,520225,465320,450479,1436024,450479,465320,473332.8,13.0284,50.17840504646301,0,0,0,0,0,0
91,83,MICROCHIP_CIRCLE,OXYGEN_SHAKE_CHOCOLATE,0.7901625693229987,1663.4791606526774,520225,465320,450479,1436024,450479,465320,473332.8,13.0284,40.44000601768494,0,0,0,0,0,0
105,97,MICROCHIP_CIRCLE,OXYGEN_SHAKE_CHOCOLATE,0.7981102802401778,1587.8057425343873,520225,465320,450479,1436024,450479,465320,473332.8,13.0284,50.791008949279785,0,0,0,0,0,0
85,77,UV_VISOR_AMBER,PEBBLES_XS,0.6548059629079153,3053.6166388613683,519684,466408,449759,1435851,449759,466408,473733.4,13.1034,50.95347213745117,-173,-720,1088,-541,1088,-720
130,122,TRANSLATOR_ECLIPSE_CHARCOAL,SLEEP_POD_LAMB_WOOL,-0.5339680362694506,15527.80489753792,521473,462723,451592,1435788,451592,462723,472246.8,12.7465,47.80091094970703,-236,1113,-2597,1248,-2597,1113
131,123,TRANSLATOR_ECLIPSE_CHARCOAL,SLEEP_POD_LAMB_WOOL,-0.5307839844057307,15493.887662403336,521473,462723,451592,1435788,451592,462723,472246.8,12.7465,44.88352084159851,-236,1113,-2597,1248,-2597,1113
132,124,TRANSLATOR_ECLIPSE_CHARCOAL,SLEEP_POD_LAMB_WOOL,-0.5435586605731771,15629.520542705448,521473,462723,451592,1435788,451592,462723,472246.8,12.7465,39.946783781051636,-236,1113,-2597,1248,-2597,1113
66,58,PEBBLES_S,PANEL_2X4,-1.1017757013394047,21342.74453333796,517743,464076,453837,1435656,453837,464076,472761.6,13.9421,58.74875807762146,-368,3358,-1244,-2482,-1244,3358
71,63,PEBBLES_S,PANEL_2X4,-1.1018323889513897,21344.52984781118,517743,464076,453837,1435656,453837,464076,472761.6,13.9421,145.18003702163696,-368,3358,-1244,-2482,-1244,3358
70,62,PEBBLES_S,PANEL_2X4,-1.1018141700156674,21344.628762462107,517743,464076,453837,1435656,453837,464076,472761.6,13.9421,148.00460171699524,-368,3358,-1244,-2482,-1244,3358
124,116,SNACKPACK_CHOCOLATE,PANEL_2X4,-0.2172128020810646,12290.287714606307,519850,465066,450479,1435395,450479,465066,473105.4,13.0817,34.24172806739807,-629,0,-254,-375,-254,0
120,112,SNACKPACK_CHOCOLATE,PANEL_2X4,-0.2193158108161179,12312.853098352913,519850,465066,450479,1435395,450479,465066,473105.4,13.0817,42.31454610824585,-629,0,-254,-375,-254,0
119,111,SNACKPACK_CHOCOLATE,PANEL_2X4,-0.2171488594154439,12289.621446654111,519850,465066,450479,1435395,450479,465066,473105.4,13.0817,38.58421301841736,-629,0,-254,-375,-254,0
122,114,SNACKPACK_CHOCOLATE,PANEL_2X4,-0.2175029414283099,12293.357509223635,519850,465066,450479,1435395,450479,465066,473105.4,13.0817,42.022058963775635,-629,0,-254,-375,-254,0
140,132,GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_CIRCLE,-0.3822618721279026,13749.153717392825,520345,464670,450323,1435338,450323,464670,472935.6,12.9352,36.60800218582153,-686,-156,-650,120,-650,-156
144,136,GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_CIRCLE,-0.3830073662481682,13755.889935135174,520345,464670,450323,1435338,450323,464670,472935.6,12.9352,37.04908084869385,-686,-156,-650,120,-650,-156
134,126,GALAXY_SOUNDS_DARK_MATTER,MICROCHIP_CIRCLE,-0.382383996399042,13750.252348469883,520345,464670,450323,1435338,450323,464670,472935.6,12.9352,39.24345278739929,-686,-156,-650,120,-650,-156
80,72,PANEL_2X4,PEBBLES_S,-0.6236562146290572,16837.28630631082,518956,464810,450479,1434245,450479,464810,472773.0,13.2373,67.89691090583801,-1779,0,-510,-1269,-510,0
96,88,PANEL_2X4,PEBBLES_S,-0.624170797571384,16840.749405625695,518956,464810,450479,1434245,450479,464810,472773.0,13.2373,43.40333795547485,-1779,0,-510,-1269,-510,0
103,95,PANEL_2X4,PEBBLES_S,-0.623036339105657,16836.65554768176,518956,464810,450479,1434245,450479,464810,472773.0,13.2373,43.50738716125488,-1779,0,-510,-1269,-510,0
100,92,PANEL_2X4,PEBBLES_S,-0.6240537370367631,16839.944282279965,518956,464810,450479,1434245,450479,464810,472773.0,13.2373,46.21993279457092,-1779,0,-510,-1269,-510,0
86,78,PANEL_2X4,PEBBLES_XS,-0.3717518232397583,14018.355830906234,520359,465016,448552,1433927,448552,465016,472791.8,12.7064,50.62353587150574,-2097,-1927,-304,134,-304,-1927
109,101,PANEL_2X4,PEBBLES_XS,-0.368433368145386,13999.24539348717,520359,465016,448552,1433927,448552,465016,472791.8,12.7064,48.560250759124756,-2097,-1927,-304,134,-304,-1927
87,79,PANEL_2X4,PEBBLES_XS,-0.37192066232626,14019.370633428503,520359,465016,448552,1433927,448552,465016,472791.8,12.7064,50.75642204284668,-2097,-1927,-304,134,-304,-1927
136,128,SNACKPACK_VANILLA,PANEL_1X2,0.1476297379597199,8780.630463694833,519826,464401,448196,1432422,448196,464401,472245.0,12.7117,33.99571108818054,-3602,-2283,-919,-399,-919,-2283
137,129,SNACKPACK_VANILLA,PANEL_1X2,0.1465195284339851,8790.086340762948,519826,464401,448182,1432408,448182,464401,472242.2,12.7098,39.29184412956238,-3616,-2297,-919,-399,-919,-2297
138,130,SNACKPACK_VANILLA,PANEL_1X2,0.1460910242046984,8793.778855168383,519826,464401,448071,1432298,448071,464401,472220.0,12.6942,39.320165157318115,-3726,-2408,-919,-399,-919,-2408
135,127,SNACKPACK_VANILLA,PANEL_1X2,0.1461739394853733,8793.067253636478,519826,464401,448071,1432298,448071,464401,472220.0,12.6942,35.68363404273987,-3726,-2408,-919,-399,-919,-2408
165,157,SNACKPACK_PISTACHIO,TRANSLATOR_ASTRO_BLACK,0.2408654852833257,7233.30954024455,520714,461705,449653,1432072,449653,461705,471096.4,12.5526,40.54925012588501,-3952,-826,-3615,489,-3615,-826
63,55,GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_S,-1.0189105238060594,20569.713281920063,512550,464606,453414,1430570,453414,464606,471956.4,15.1799,59.2442901134491,-5454,2935,-714,-7675,-714,2935
45,37,GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_S,-1.0179829712021022,20559.937409828195,512550,464606,453414,1430570,453414,464606,471956.4,15.1799,71.0769510269165,-5454,2935,-714,-7675,-714,2935
44,36,GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_S,-1.0181740113867237,20561.95579944951,512550,464606,453414,1430570,453414,464606,471956.4,15.1799,62.116454124450684,-5454,2935,-714,-7675,-714,2935
57,49,GALAXY_SOUNDS_BLACK_HOLES,PEBBLES_S,-1.021242968917232,20597.39085500036,512550,463613,453265,1429428,453265,463613,471330.8,15.0467,68.92888617515564,-6596,2786,-1707,-7675,-1707,2786
64,56,OXYGEN_SHAKE_MORNING_BREATH,PEBBLES_M,-0.813961727499422,18354.328611592795,516594,457513,454075,1428182,454075,457513,468641.6,13.5456,59.60536336898804,-7842,3596,-7807,-3631,-7807,3596
61,53,OXYGEN_SHAKE_MORNING_BREATH,PEBBLES_M,-0.8133370455047219,18347.658580190815,516594,457513,454075,1428182,454075,457513,468641.6,13.5456,65.8810408115387,-7842,3596,-7807,-3631,-7807,3596
78,70,OXYGEN_SHAKE_MORNING_BREATH,PEBBLES_M,-0.8138433428288929,18353.06299334476,516594,457513,454075,1428182,454075,457513,468641.6,13.5456,64.10391402244568,-7842,3596,-7807,-3631,-7807,3596
133,125,ROBOT_MOPPING,PANEL_1X4,-0.8041442303919017,18661.30374560096,514334,463669,449203,1427206,449203,463669,470908.8,13.91,40.20319700241089,-8818,-1276,-1651,-5891,-1651,-1276
74,66,PANEL_2X4,PEBBLES_XL,0.3088604927086312,7181.9109786943945,518280,470920,436740,1425940,436740,470920,473556.0,11.608,113.90609693527222,-10084,-13739,5600,-1945,5600,-13739
40,32,PANEL_2X4,PEBBLES_XL,0.3092340069776027,7175.927154712559,518280,470920,436740,1425940,436740,470920,473556.0,11.608,81.0816707611084,-10084,-13739,5600,-1945,5600,-13739
58,50,PANEL_2X4,PEBBLES_XL,0.3075234552606712,7205.10780576041,518280,470920,436740,1425940,436740,470920,473556.0,11.608,68.78491687774658,-10084,-13739,5600,-1945,5600,-13739
146,138,SLEEP_POD_LAMB_WOOL,TRANSLATOR_ECLIPSE_CHARCOAL,-0.691788660586341,17493.402899740624,511356,460619,451975,1423950,451975,460619,469037.6,14.7955,43.911287784576416,-12074,1496,-4701,-8869,-4701,1496
147,139,SLEEP_POD_LAMB_WOOL,TRANSLATOR_ECLIPSE_CHARCOAL,-0.7159367125345051,17727.48533024148,511356,460619,451887,1423862,451887,460619,469020.0,14.7802,44.215845823287964,-12162,1408,-4701,-8869,-4701,1408
116,108,SLEEP_POD_LAMB_WOOL,TRANSLATOR_ECLIPSE_CHARCOAL,-0.7149291554981798,17717.704236984522,511356,460619,451887,1423862,451887,460619,469020.0,14.7802,52.76321792602539,-12162,1408,-4701,-8869,-4701,1408
69,61,TRANSLATOR_VOID_BLUE,PEBBLES_XL,0.2632096393312778,7382.80711912763,518246,466361,433378,1417985,433378,466361,470141.4,11.0478,148.06894898414612,-18039,-17101,1041,-1979,1041,-17101
