section,key,value
per_product_day_2,PANEL_4X4,-4426
per_product_day_2,PEBBLES_L,1706
per_product_day_2,PEBBLES_M,13469
per_product_day_2,PEBBLES_S,20957
per_product_day_2,PEBBLES_XL,35099
per_product_day_2,PEBBLES_XS,6002
per_product_day_2,ROBOT_DISHES,16701
per_product_day_2,ROBOT_IRONING,23102
per_product_day_2,ROBOT_LAUNDRY,15356
per_product_day_2,ROBOT_MOPPING,5474
per_product_day_2,ROBOT_VACUUMING,-5116
per_product_day_2,SLEEP_POD_COTTON,20032
per_product_day_2,SLEEP_POD_LAMB_WOOL,9193
per_product_day_2,SLEEP_POD_NYLON,1923
per_product_day_2,SLEEP_POD_POLYESTER,10969
per_product_day_2,SLEEP_POD_SUEDE,20574
per_product_day_2,SNACKPACK_CHOCOLATE,9150
per_product_day_2,SNACKPACK_PISTACHIO,11706
per_product_day_2,SNACKPACK_RASPBERRY,9740
per_product_day_2,SNACKPACK_STRAWBERRY,9994
per_product_day_2,SNACKPACK_VANILLA,9344
per_product_day_2,TRANSLATOR_ASTRO_BLACK,80
per_product_day_2,TRANSLATOR_ECLIPSE_CHARCOAL,12006
per_product_day_2,TRANSLATOR_GRAPHITE_MIST,-4774
per_product_day_2,TRANSLATOR_SPACE_GRAY,6622
per_product_day_2,TRANSLATOR_VOID_BLUE,11829
per_product_day_2,UV_VISOR_AMBER,16157
per_product_day_2,UV_VISOR_MAGENTA,444
per_product_day_2,UV_VISOR_ORANGE,3877
per_product_day_2,UV_VISOR_RED,1233
per_product_day_2,UV_VISOR_YELLOW,9538
per_product_day_3,GALAXY_SOUNDS_BLACK_HOLES,29979
per_product_day_3,GALAXY_SOUNDS_DARK_MATTER,16906
per_product_day_3,GALAXY_SOUNDS_PLANETARY_RINGS,1824
per_product_day_3,GALAXY_SOUNDS_SOLAR_FLAMES,5178
per_product_day_3,GALAXY_SOUNDS_SOLAR_WINDS,24157
per_product_day_3,MICROCHIP_CIRCLE,9165
per_product_day_3,MICROCHIP_OVAL,4599
per_product_day_3,MICROCHIP_RECTANGLE,22468
per_product_day_3,MICROCHIP_SQUARE,25487
per_product_day_3,MICROCHIP_TRIANGLE,-938
per_product_day_3,OXYGEN_SHAKE_CHOCOLATE,3942
per_product_day_3,OXYGEN_SHAKE_EVENING_BREATH,7291
per_product_day_3,OXYGEN_SHAKE_GARLIC,13645
per_product_day_3,OXYGEN_SHAKE_MINT,-684
per_product_day_3,OXYGEN_SHAKE_MORNING_BREATH,-899
per_product_day_3,PANEL_1X2,-210
per_product_day_3,PANEL_1X4,9779
per_product_day_3,PANEL_2X2,188
per_product_day_3,PANEL_2X4,18878
per_product_day_3,PANEL_4X4,954
per_product_day_3,PEBBLES_L,8311
per_product_day_3,PEBBLES_M,15873
per_product_day_3,PEBBLES_S,7549
per_product_day_3,PEBBLES_XL,19441
per_product_day_3,PEBBLES_XS,7904
per_product_day_3,ROBOT_DISHES,3121
per_product_day_3,ROBOT_IRONING,14746
per_product_day_3,ROBOT_LAUNDRY,11875
per_product_day_3,ROBOT_MOPPING,1072
per_product_day_3,ROBOT_VACUUMING,3076
per_product_day_3,SLEEP_POD_COTTON,6995
per_product_day_3,SLEEP_POD_LAMB_WOOL,14118
per_product_day_3,SLEEP_POD_NYLON,6102
per_product_day_3,SLEEP_POD_POLYESTER,16692
per_product_day_3,SLEEP_POD_SUEDE,11151
per_product_day_3,SNACKPACK_CHOCOLATE,13046
per_product_day_3,SNACKPACK_PISTACHIO,5139
per_product_day_3,SNACKPACK_RASPBERRY,9065
per_product_day_3,SNACKPACK_STRAWBERRY,9200
per_product_day_3,SNACKPACK_VANILLA,12556
per_product_day_3,TRANSLATOR_ASTRO_BLACK,2574
per_product_day_3,TRANSLATOR_ECLIPSE_CHARCOAL,11479
per_product_day_3,TRANSLATOR_GRAPHITE_MIST,-805
per_product_day_3,TRANSLATOR_SPACE_GRAY,3206
per_product_day_3,TRANSLATOR_VOID_BLUE,13087
per_product_day_3,UV_VISOR_AMBER,849
per_product_day_3,UV_VISOR_MAGENTA,4516
per_product_day_3,UV_VISOR_ORANGE,1926
per_product_day_3,UV_VISOR_RED,8456
per_product_day_3,UV_VISOR_YELLOW,22231
per_product_day_4,GALAXY_SOUNDS_BLACK_HOLES,24069
per_product_day_4,GALAXY_SOUNDS_DARK_MATTER,17760
per_product_day_4,GALAXY_SOUNDS_PLANETARY_RINGS,-6912
per_product_day_4,GALAXY_SOUNDS_SOLAR_FLAMES,2060
per_product_day_4,GALAXY_SOUNDS_SOLAR_WINDS,35244
per_product_day_4,MICROCHIP_CIRCLE,20796
per_product_day_4,MICROCHIP_OVAL,1048
per_product_day_4,MICROCHIP_RECTANGLE,20169
per_product_day_4,MICROCHIP_SQUARE,888
per_product_day_4,MICROCHIP_TRIANGLE,8286
per_product_day_4,OXYGEN_SHAKE_CHOCOLATE,-13891
per_product_day_4,OXYGEN_SHAKE_EVENING_BREATH,11905
per_product_day_4,OXYGEN_SHAKE_GARLIC,19383
per_product_day_4,OXYGEN_SHAKE_MINT,2452
per_product_day_4,OXYGEN_SHAKE_MORNING_BREATH,11090
per_product_day_4,PANEL_1X2,196
per_product_day_4,PANEL_1X4,-4962
per_product_day_4,PANEL_2X2,-87
per_product_day_4,PANEL_2X4,11889
per_product_day_4,PANEL_4X4,3116
per_product_day_4,PEBBLES_L,-6414
per_product_day_4,PEBBLES_M,19757
per_product_day_4,PEBBLES_S,22321
per_product_day_4,PEBBLES_XL,51052
per_product_day_4,PEBBLES_XS,11361
per_product_day_4,ROBOT_DISHES,6379
per_product_day_4,ROBOT_IRONING,3298
per_product_day_4,ROBOT_LAUNDRY,-1720
per_product_day_4,ROBOT_MOPPING,2973
per_product_day_4,ROBOT_VACUUMING,3664
per_product_day_4,SLEEP_POD_COTTON,12653
per_product_day_4,SLEEP_POD_LAMB_WOOL,7460
per_product_day_4,SLEEP_POD_NYLON,4830
per_product_day_4,SLEEP_POD_POLYESTER,9793
per_product_day_4,SLEEP_POD_SUEDE,27856
per_product_day_4,SNACKPACK_CHOCOLATE,9150
per_product_day_4,SNACKPACK_PISTACHIO,6627
per_product_day_4,SNACKPACK_RASPBERRY,1868
per_product_day_4,SNACKPACK_STRAWBERRY,10423
per_product_day_4,SNACKPACK_VANILLA,8069
per_product_day_4,TRANSLATOR_ASTRO_BLACK,8856
per_product_day_4,TRANSLATOR_ECLIPSE_CHARCOAL,14088
per_product_day_4,TRANSLATOR_GRAPHITE_MIST,4278
per_product_day_4,TRANSLATOR_SPACE_GRAY,-5039
per_product_day_4,TRANSLATOR_VOID_BLUE,14887
per_product_day_4,UV_VISOR_AMBER,-591
per_product_day_4,UV_VISOR_MAGENTA,489
per_product_day_4,UV_VISOR_ORANGE,9194
per_product_day_4,UV_VISOR_RED,110
per_product_day_4,UV_VISOR_YELLOW,24029
