product,baseline_d2,baseline_d3,baseline_d4,tuned_d2,tuned_d3,tuned_d4,baseline_xday_std,tuned_xday_std,delta_xday_std,baseline_xfold_std,tuned_xfold_std,delta_xfold_std,baseline_3day,tuned_3day
GALAXY_SOUNDS_SOLAR_FLAMES,-5600.0,5178.0,2060.0,-5600.0,5178.0,2060.0,4528.463168301876,4528.463168301876,0.0,4177.737301458769,4177.737301458769,0.0,1638.0,1638.0
SNACKPACK_RASPBERRY,-1950.0,-3716.0,-10282.0,9740.0,9065.0,1868.0,3584.7413667748287,3562.4713332179954,-22.27003355683337,2885.2421735445364,2957.8754943371096,72.63332079257316,-15948.0,20673.0
MICROCHIP_OVAL,4638.0,5403.0,970.0,4360.0,2786.0,81.0,1934.7965152841152,1767.11761540274,-167.67889988137517,1722.3747095217113,1381.2073559027986,-341.1673536189128,11011.0,7227.0
SNACKPACK_STRAWBERRY,5238.0,4505.0,13613.0,18673.0,9254.0,12943.0,4131.633763483346,3875.2660410465874,-256.36772243675887,3581.1701104527274,3686.79669089577,105.62658044304271,23356.0,40870.0
MICROCHIP_CIRCLE,222.0,-1208.0,11367.0,10084.0,9165.0,20796.0,5621.254802582387,5279.6429382634915,-341.61186431889564,4918.282627096576,4574.368196811446,-343.91443028513004,10381.0,40045.0
SNACKPACK_CHOCOLATE,-3960.0,328.0,-4591.0,9150.0,13046.0,9150.0,2185.3468069546,1836.5920130018594,-348.7547939527408,2264.0554410172913,1908.6424075766524,-355.41303344063886,-8223.0,31346.0
TRANSLATOR_ECLIPSE_CHARCOAL,13961.0,9131.0,8422.0,11878.0,10566.0,15537.0,2461.077045161777,2103.44864977071,-357.628395391067,2021.6356150404554,1925.4592802757477,-96.17633476470769,31514.0,37981.0
SLEEP_POD_POLYESTER,12206.0,22163.0,5429.0,11588.0,20790.0,5172.0,6872.621479464732,6409.747646271957,-462.87383319277524,6880.213787376088,6409.24719448392,-470.9665928921677,39798.0,37550.0
PANEL_2X4,21858.0,18765.0,10894.0,20224.0,18878.0,11889.0,4615.536395937337,3653.4620111158492,-962.0743848214879,3659.328714395579,2976.2105839473115,-683.1181304482675,51517.0,50991.0
TRANSLATOR_VOID_BLUE,5166.0,4777.0,10417.0,11829.0,13087.0,14887.0,2571.9409445440656,1254.942583901307,-1316.9983606427586,2222.2129870919216,976.0954051730804,-1246.117581918841,20360.0,39803.0
SNACKPACK_VANILLA,4676.0,-3475.0,2672.0,9344.0,12556.0,8069.0,3467.9553053636664,1887.848216591813,-1580.1070887718533,3559.1529666481038,1928.4808943829337,-1630.67207226517,3873.0,29969.0
SNACKPACK_PISTACHIO,-1752.0,2373.0,8621.0,10345.0,5681.0,6426.0,4264.221408677347,2045.767500638004,-2218.4539080393433,3321.195664214922,1814.1920956723409,-1507.0035685425812,9242.0,22452.0
GALAXY_SOUNDS_DARK_MATTER,11734.0,15214.0,6721.0,14395.0,17031.0,15895.0,3486.029546633247,1079.5571108355296,-2406.4724357977175,3333.793730871783,1038.594742909861,-2295.198987961922,33669.0,47321.0
GALAXY_SOUNDS_BLACK_HOLES,-172.0,30496.0,23958.0,5662.0,30383.0,25314.0,13188.920299503923,10661.580589512358,-2527.3397099915655,11886.247353980147,9584.714727105862,-2301.5326268742847,54282.0,61359.0
PEBBLES_M,7567.0,5086.0,18802.0,13469.0,15873.0,19757.0,5967.590636094269,2590.6587750780473,-3376.931861016222,5325.7009904800325,2021.2170591007784,-3304.483931379254,31455.0,49099.0
MICROCHIP_SQUARE,10093.0,30498.0,-3910.0,11090.0,25487.0,888.0,14127.823210483159,10091.058825624901,-4036.7643848582575,14137.761457882929,10082.130794628682,-4055.6306632542473,36681.0,37465.0
PEBBLES_XS,896.0,-7425.0,15056.0,20650.0,20168.0,27513.0,9280.445403583219,3354.6339094850077,-5925.8114940982105,8773.616827739856,2895.8233095270157,-5877.79351821284,8527.0,68331.0
