signal,fold,n_trades,total_pnl,sharpe,hit_rate,calib_mu,calib_sd,slope,intercept,phi
pair_GALAXY_SOUNDS_DARK_MATTER/GALAXY_SOUNDS_PLANETARY_RINGS,fold_A,6,1196.5631257138666,1.5531140065075548,0.2652265226522652,-3.4691765904426575e-12,250.2333202834672,-0.007083342312773733,10182.841094413407,
pair_GALAXY_SOUNDS_DARK_MATTER/GALAXY_SOUNDS_PLANETARY_RINGS,fold_B,3,1115.4178843222062,1.5087741294888806,0.27162716271627163,3.632158041000366e-12,282.6994114278204,0.1832889988922452,8284.796947630348,
pair_SNACKPACK_CHOCOLATE/SNACKPACK_STRAWBERRY,fold_A,7,1128.5359460268755,2.275790900529333,0.2854285428542854,-6.193295121192932e-12,128.29768466930057,-0.10886992757364097,11082.061041932899,
pair_SNACKPACK_CHOCOLATE/SNACKPACK_STRAWBERRY,fold_B,3,360.8461053631272,0.6448505612689568,0.35973597359735976,-3.7085555959492925e-12,144.88379053725842,-0.1062756226110097,11051.452841111124,
pair_UV_VISOR_AMBER/UV_VISOR_MAGENTA,fold_A,1,-518.7311455428953,-0.47174153406783215,0.46914691469146913,-7.729977369308472e-12,274.25102291204354,-0.724548993585887,16711.72263178445,
pair_UV_VISOR_AMBER/UV_VISOR_MAGENTA,fold_B,2,917.8189518569852,0.674325619345857,0.37543754375437544,5.681067705154419e-12,371.45338952534144,-1.2383747056302068,21896.90576801797,
pair_TRANSLATOR_ECLIPSE_CHARCOAL/TRANSLATOR_VOID_BLUE,fold_A,6,1580.8308761444723,1.5328894017570889,0.3167316731673167,-1.2834789231419563e-12,252.57351367537711,0.7631953295486653,1860.9610706164058,
pair_TRANSLATOR_ECLIPSE_CHARCOAL/TRANSLATOR_VOID_BLUE,fold_B,1,-45.9504561861786,-0.05322179075477021,0.30803080308030806,3.958120942115784e-12,307.52219933281276,0.45645637841934106,4954.250644191781,
pair_SLEEP_POD_LAMB_WOOL/SLEEP_POD_NYLON,fold_A,1,563.8232519107032,1.4805843951681366,0.0627062706270627,2.421438694000244e-12,467.85372329367766,0.41398271641951834,6831.278331188457,
pair_SLEEP_POD_LAMB_WOOL/SLEEP_POD_NYLON,fold_B,3,905.1179641939261,1.1350357166213771,0.2154215421542154,-5.617039278149605e-12,382.72856052672233,0.5922535420940624,5074.485723600255,
pair_OXYGEN_SHAKE_CHOCOLATE/OXYGEN_SHAKE_GARLIC,fold_A,5,1221.8012160674498,1.558224237079037,0.32553255325532554,-1.5541445463895799e-12,217.09162617276576,-0.26583323868186903,12295.457629987302,
pair_OXYGEN_SHAKE_CHOCOLATE/OXYGEN_SHAKE_GARLIC,fold_B,2,-1136.7116066667659,-0.9512394827772302,0.39553955395539553,9.269570000469686e-13,237.32907138125768,-0.15451696227589465,11066.295850237757,
pair_MICROCHIP_OVAL/MICROCHIP_TRIANGLE,fold_A,2,-1570.1625871673132,-1.2466070871743962,0.47434743474347435,-2.693559508770704e-12,306.0364399633829,-0.08773242087182935,10662.699830364301,
pair_MICROCHIP_OVAL/MICROCHIP_TRIANGLE,fold_B,1,-1667.9587082841836,-1.7127493203340352,0.49294929492949296,-6.845220923423767e-12,778.3571523212582,0.2128338356196719,6979.322648458026,
pair_SLEEP_POD_POLYESTER/SLEEP_POD_SUEDE,fold_A,2,349.5503282304662,0.49442902686085266,0.10961096109610961,-3.4226104617118834e-12,450.07947790697,0.6965601349089701,3553.62475833319,
pair_SLEEP_POD_POLYESTER/SLEEP_POD_SUEDE,fold_B,1,601.3912452875193,0.39174628016255186,0.47264726472647267,-2.4097971618175506e-12,425.54865407899075,0.7564568023494724,2976.760883068443,
pair_PEBBLES_M/PEBBLES_XS,fold_A,2,-666.7262563055774,-0.4462334728493853,0.47734773477347736,-3.2014213502407074e-12,319.7602413404353,0.14040422630656302,8457.214902474383,
pair_PEBBLES_M/PEBBLES_XS,fold_B,2,1283.5242015243657,1.460788717861832,0.1626162616261626,2.8405338525772097e-12,523.7626364128279,-0.2548018250871614,12017.48998400113,
pair_PEBBLES_S/PEBBLES_XL,fold_A,2,295.7499281264754,0.4762835099320738,0.11021102110211022,-8.434290066361427e-12,296.7649522054759,-0.23792068323858842,12398.407572614271,
pair_PEBBLES_S/PEBBLES_XL,fold_B,1,-42.23522350735948,-0.03256798313399181,0.4967496749674967,-5.7625584304332736e-12,290.30736090482833,-0.22291100560354785,12211.707927819642,
ar1_ROBOT_DISHES,fold_A,5277,439.0,0.4475572522284442,0.46539307861572315,,,,,-0.0008800890858026988
ar1_ROBOT_DISHES,fold_B,2583,21856.0,13.550340468684702,0.10662132426485298,,,,,-0.002556886337341793
ar1_ROBOT_IRONING,fold_A,6805,5641.5,7.346017717157063,0.21724344868973794,,,,,-0.16156605592002085
ar1_ROBOT_IRONING,fold_B,6740,7478.0,11.22045246267653,0.2036407281456291,,,,,-0.12879326621028975
ar1_OXYGEN_SHAKE_EVENING_BREATH,fold_A,6866,7402.0,9.330679992271435,0.22684536907381475,,,,,-0.17378560751644093
ar1_OXYGEN_SHAKE_EVENING_BREATH,fold_B,6900,6251.0,7.566886106287315,0.22854570914182837,,,,,-0.14175406637012
ar1_OXYGEN_SHAKE_CHOCOLATE,fold_A,5283,-141.0,-0.1544841770095741,0.46919383876775356,,,,,-0.12139174640399769
ar1_OXYGEN_SHAKE_CHOCOLATE,fold_B,5173,2559.5,2.3948417883502953,0.45479095819163834,,,,,-0.07241931728256593
