label,variant,ar1_alpha,log_clip,inv_beta,use_ar1,use_log,elapsed_s,F1_pnl,F2_pnl,F3_pnl,F4_pnl,F5_pnl,fold_min,fold_median,fold_mean,total_3day,sharpe_3day,max_dd_3day,dishes_day2,dishes_day3,dishes_day4,dishes_3day,gate_a,gate_b,gate_c,gate_d,gate_e,target,passed_strict,delta_fold_min,delta_fold_median,delta_mean,delta_dishes_3d,min_fold_delta,max_dd_ratio,sharpe
1b_a1.0_c5_b0.6,1b,1.0,5,0.6,True,True,52.7,461468,455660,461468,494478,461468,455660,461468,466908.4,1411605,22.4732,25592,21356,8331,15839,45526,True,True,True,True,True,True,True,9460,5210.0,5949.0,19325,4655,1.0333521763708309,22.4732
1b_a0.5_c10_b0.4,1b,0.5,10,0.4,True,True,52.0,461638,455468,461638,494223,461638,455468,461638,466921.0,1411328,22.5912,25198,21101,8501,15647,45249,True,True,True,True,True,True,True,9268,5380.0,5961.599999999977,19048,4400,1.0174432689978197,22.5912
1b_a2.0_c10_b0.1,1b,2.0,10,0.1,True,True,51.1,462882,455398,462882,494371,462882,455398,462882,467683.0,1412651,22.7677,25398,21249,9746,15577,46572,True,True,True,True,True,True,True,9198,6624.0,6723.599999999977,20371,4548,1.02551885649681,22.7677
1b_a2.5_c10_b0.2,1b,2.5,10,0.2,True,True,49.3,463006,455298,463006,493987,463006,455298,463006,467660.6,1412291,22.9887,25502,20865,9870,15477,46212,True,True,True,True,True,True,True,9098,6748.0,6701.199999999953,20011,4164,1.0297181619962852,22.9887
1b_a2.0_c10_b0.4,1b,2.0,10,0.4,True,True,58.5,462462,455298,462462,493982,462462,455298,462462,467333.2,1411742,22.8655,25502,20860,9326,15477,45663,True,True,True,True,True,True,True,9098,6204.0,6373.799999999988,19462,4159,1.0297181619962852,22.8655
1b_a2.5_c10_b0.1,1b,2.5,10,0.1,True,True,41.9,463006,455298,463006,494335,463006,455298,463006,467730.2,1412639,22.7749,25502,21213,9870,15477,46560,True,True,True,True,True,True,True,9098,6748.0,6770.799999999988,20359,4512,1.0297181619962852,22.7749
1b_a2.5_c10_b0.4,1b,2.5,10,0.4,True,True,48.7,462462,455298,462462,494397,462462,455298,462462,467416.2,1412157,22.613,25502,21275,9326,15477,46078,True,True,True,True,True,True,True,9098,6204.0,6456.799999999988,19877,4574,1.0297181619962852,22.613
1b_a2.0_c10_b0.2,1b,2.0,10,0.2,True,True,58.3,462462,455298,462462,494816,462462,455298,462462,467500.0,1412576,22.3636,25502,21694,9326,15477,46497,True,True,True,True,True,True,True,9098,6204.0,6540.599999999977,20296,4993,1.0297181619962852,22.3636
1b_a0.5_c10_b0.2,1b,0.5,10,0.2,True,True,61.1,461638,455274,461638,494132,461638,455274,461638,466864.0,1411043,22.5671,25194,21010,8501,15453,44964,True,True,True,True,True,True,True,9074,5380.0,5904.599999999977,18763,4309,1.0172817572478399,22.5671
1b_a0.5_c10_b0.1,1b,0.5,10,0.1,True,True,78.6,461444,455274,461444,494132,461444,455274,461444,466747.6,1410849,22.5199,25194,21010,8307,15453,44770,True,True,True,True,True,True,True,9074,5186.0,5788.199999999953,18569,4309,1.0172817572478399,22.5199
