label,variant,ar1_alpha,log_clip,inv_beta,use_ar1,use_log,elapsed_s,F1_pnl,F2_pnl,F3_pnl,F4_pnl,F5_pnl,fold_min,fold_median,fold_mean,total_3day,sharpe_3day,max_dd_3day,dishes_day2,dishes_day3,dishes_day4,dishes_3day
1b_a2.5_c7_b0.2,1b,2.5,7,0.2,True,True,45.7,463412,453574,463412,493712,463412,453574,463412,467504.4,1410697,22.4771,25098,20590,10275,13753,44618
1b_a2.5_c7_b0.1,1b,2.5,7,0.1,True,True,45.7,463412,453574,463412,494049,463412,453574,463412,467571.8,1411034,22.281,25098,20927,10275,13753,44955
1b_a2.0_c7_b0.1,1b,2.0,7,0.1,True,True,56.9,462884,453574,462884,494232,462884,453574,462884,467291.6,1410690,22.0752,25098,21110,9748,13753,44611
1b_a2.0_c7_b0.2,1b,2.0,7,0.2,True,True,60.3,462212,453574,462212,494755,462212,453574,462212,466993.0,1410541,21.6511,25098,21633,9076,13753,44462
1b_a2.5_c5_b0.2,1b,2.5,5,0.2,True,True,53.5,463300,453536,463300,493771,463300,453536,463300,467441.4,1410608,22.405,25292,20649,10164,13716,44529
1b_a2.5_c5_b0.1,1b,2.5,5,0.1,True,True,46.8,463300,453536,463300,494156,463300,453536,463300,467518.4,1410993,22.1825,25292,21034,10164,13716,44914
1b_a2.0_c5_b0.1,1b,2.0,5,0.1,True,True,52.1,462984,453536,462984,494096,462984,453536,462984,467316.8,1410616,22.1562,25292,20974,9847,13716,44537
1b_a2.0_c5_b0.2,1b,2.0,5,0.2,True,True,59.0,462756,453536,462756,494493,462756,453536,462756,467259.4,1410786,21.8879,25292,21371,9620,13716,44707
1b_a2.0_c7_b0.4,1b,2.0,7,0.4,True,True,60.3,462558,453492,462558,493882,462558,453492,462558,467009.6,1409931,22.1763,25292,20760,9421,13671,43852
1b_a2.5_c7_b0.4,1b,2.5,7,0.4,True,True,45.9,462792,453492,462792,494222,462792,453492,462792,467218.0,1410505,22.0284,25292,21100,9655,13671,44426
1b_a1.5_c5_b0.1,1b,1.5,5,0.1,True,True,61.8,462156,453398,462156,493923,462156,453398,462156,466757.8,1409477,22.0332,25292,20801,9020,13577,43398
1b_a0.5_c3_b0.4,1b,0.5,3,0.4,True,True,196.0,462264,453394,462264,494222,462264,453394,462264,466881.6,1409880,21.8847,25592,21100,9127,13574,43801
1b_a0.5_c3_b0.6,1b,0.5,3,0.6,True,True,196.0,461644,453388,461644,493305,461644,453388,461644,466325.0,1408337,22.279,25592,20183,8508,13567,42258
