group,from,to,f_stat,p_value
sleep_pod,SLEEP_POD_COTTON,SLEEP_POD_NYLON,0.2673378642867513,0.6051254603416504
sleep_pod,SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,0.014669758874667321,0.903597441413182
sleep_pod,SLEEP_POD_COTTON,SLEEP_POD_SUEDE,0.012471712022204465,0.9110801082555985
sleep_pod,SLEEP_POD_LAMB_WOOL,SLEEP_POD_COTTON,1.0271719505838706,0.3108287295931824
sleep_pod,SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,0.06709677163230254,0.7956128170208876
sleep_pod,SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,0.4883798671562375,0.48465415280034146
sleep_pod,SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,0.7257147167927387,0.3942798350136047
sleep_pod,SLEEP_POD_NYLON,SLEEP_POD_COTTON,5.792822522784751e-05,0.9939273422272918
sleep_pod,SLEEP_POD_NYLON,SLEEP_POD_LAMB_WOOL,0.006070536330885612,0.9378970559592817
sleep_pod,SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,0.07048626319697222,0.7906311884001819
sleep_pod,SLEEP_POD_NYLON,SLEEP_POD_SUEDE,0.8618418099590072,0.3532282715647785
sleep_pod,SLEEP_POD_POLYESTER,SLEEP_POD_COTTON,1.2299109419442458,0.2674296962668975
sleep_pod,SLEEP_POD_POLYESTER,SLEEP_POD_LAMB_WOOL,0.38865162005902065,0.5330118659752676
sleep_pod,SLEEP_POD_POLYESTER,SLEEP_POD_NYLON,0.010454174580206546,0.9185620980852529
sleep_pod,SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,0.5746470612133237,0.4484217598828388
sleep_pod,SLEEP_POD_SUEDE,SLEEP_POD_COTTON,0.007147249638125846,0.9326263206792211
sleep_pod,SLEEP_POD_SUEDE,SLEEP_POD_LAMB_WOOL,0.34818132507397315,0.5551471160942382
sleep_pod,SLEEP_POD_SUEDE,SLEEP_POD_NYLON,0.312830910440897,0.5759507058088561
sleep_pod,SLEEP_POD_SUEDE,SLEEP_POD_POLYESTER,1.2276062035060031,0.2678784135270127
snackpack,SNACKPACK_CHOCOLATE,SNACKPACK_PISTACHIO,0.07882302908362158,0.7788999488555447
snackpack,SNACKPACK_CHOCOLATE,SNACKPACK_RASPBERRY,0.45058686422031263,0.5020594967387773
snackpack,SNACKPACK_CHOCOLATE,SNACKPACK_STRAWBERRY,0.33485884401168203,0.5628145433785363
snackpack,SNACKPACK_CHOCOLATE,SNACKPACK_VANILLA,0.3457054139467693,0.5565569744595384
snackpack,SNACKPACK_PISTACHIO,SNACKPACK_CHOCOLATE,1.1335067174311433,0.2870337288790539
snackpack,SNACKPACK_PISTACHIO,SNACKPACK_RASPBERRY,0.3264103568169725,0.5677830542049
snackpack,SNACKPACK_PISTACHIO,SNACKPACK_STRAWBERRY,1.1426386438986138,0.28510062256487234
snackpack,SNACKPACK_PISTACHIO,SNACKPACK_VANILLA,0.9849073006468778,0.320995074244141
snackpack,SNACKPACK_RASPBERRY,SNACKPACK_CHOCOLATE,0.228116132299858,0.6329263091104208
snackpack,SNACKPACK_RASPBERRY,SNACKPACK_PISTACHIO,0.15533171810871843,0.693493056498534
snackpack,SNACKPACK_RASPBERRY,SNACKPACK_STRAWBERRY,0.1417664271316808,0.7065328203416822
snackpack,SNACKPACK_RASPBERRY,SNACKPACK_VANILLA,0.022280793820369522,0.8813431424136172
snackpack,SNACKPACK_STRAWBERRY,SNACKPACK_CHOCOLATE,0.8154242102412206,0.3665257783705757
snackpack,SNACKPACK_STRAWBERRY,SNACKPACK_PISTACHIO,0.10086414224348082,0.750796410850435
snackpack,SNACKPACK_STRAWBERRY,SNACKPACK_RASPBERRY,0.014817041270896086,0.9031170892791615
snackpack,SNACKPACK_STRAWBERRY,SNACKPACK_VANILLA,0.5145838449526211,0.47316460247463993
snackpack,SNACKPACK_VANILLA,SNACKPACK_CHOCOLATE,0.5764583281157681,0.4477074830932647
snackpack,SNACKPACK_VANILLA,SNACKPACK_PISTACHIO,0.1870908826903353,0.6653508274104647
snackpack,SNACKPACK_VANILLA,SNACKPACK_RASPBERRY,0.6893379705108071,0.40639361973980187
snackpack,SNACKPACK_VANILLA,SNACKPACK_STRAWBERRY,0.5706704055096997,0.4499961990172056
translator,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_ECLIPSE_CHARCOAL,0.1193893968820808,0.7296991382387693
translator,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_GRAPHITE_MIST,0.04766124925830701,0.8271849185718165
translator,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_SPACE_GRAY,0.24726751032790892,0.6190079013551739
translator,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_VOID_BLUE,3.5166792191053533,0.060759888784183994
translator,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_ASTRO_BLACK,1.4118121567582353,0.2347614454543273
translator,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_GRAPHITE_MIST,0.34098417121930763,0.5592643258887852
translator,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_SPACE_GRAY,0.861790351424371,0.3532426434882321
translator,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_VOID_BLUE,1.4509182040465058,0.22838638161762342
translator,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_ASTRO_BLACK,0.9132638495965918,0.3392545274761714
translator,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_ECLIPSE_CHARCOAL,0.6791868919474124,0.4098707894995896
translator,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_SPACE_GRAY,1.668293481480379,0.19649323922720813
translator,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_VOID_BLUE,0.006698176617797425,0.9347723754853446
translator,TRANSLATOR_SPACE_GRAY,TRANSLATOR_ASTRO_BLACK,0.058391114463464594,0.8090581524634277
translator,TRANSLATOR_SPACE_GRAY,TRANSLATOR_ECLIPSE_CHARCOAL,2.3910512965371455,0.12203787156217644
translator,TRANSLATOR_SPACE_GRAY,TRANSLATOR_GRAPHITE_MIST,0.04176756610619539,0.8380643073698731
translator,TRANSLATOR_SPACE_GRAY,TRANSLATOR_VOID_BLUE,1.9399749213964825,0.1636774542966307
translator,TRANSLATOR_VOID_BLUE,TRANSLATOR_ASTRO_BLACK,2.4725495119111125,0.11585620513971989
translator,TRANSLATOR_VOID_BLUE,TRANSLATOR_ECLIPSE_CHARCOAL,1.0100030805076243,0.3149069678992718
translator,TRANSLATOR_VOID_BLUE,TRANSLATOR_GRAPHITE_MIST,0.024937469584488645,0.8745236119444252
translator,TRANSLATOR_VOID_BLUE,TRANSLATOR_SPACE_GRAY,1.7801619239590367,0.1821355250794701
uv_visor,UV_VISOR_AMBER,UV_VISOR_MAGENTA,7.592811687921482,0.0058622706724914715
uv_visor,UV_VISOR_AMBER,UV_VISOR_ORANGE,0.13257432543408357,0.7157792219580231
uv_visor,UV_VISOR_AMBER,UV_VISOR_RED,0.8495397090701253,0.3566870347760218
uv_visor,UV_VISOR_AMBER,UV_VISOR_YELLOW,0.914732772357086,0.33886641298881787
uv_visor,UV_VISOR_MAGENTA,UV_VISOR_AMBER,0.011966476935426401,0.9128924992101342
uv_visor,UV_VISOR_MAGENTA,UV_VISOR_ORANGE,0.7661834144804809,0.3814045470041714
uv_visor,UV_VISOR_MAGENTA,UV_VISOR_RED,0.20951838902908343,0.6471471382401336
uv_visor,UV_VISOR_MAGENTA,UV_VISOR_YELLOW,0.00022468998394137266,0.9880404873805781
uv_visor,UV_VISOR_ORANGE,UV_VISOR_AMBER,0.16809785137399066,0.6818096274971704
uv_visor,UV_VISOR_ORANGE,UV_VISOR_MAGENTA,0.1418652193057454,0.7064353275266781
uv_visor,UV_VISOR_ORANGE,UV_VISOR_RED,3.2290935541631316,0.07234675633658628
uv_visor,UV_VISOR_ORANGE,UV_VISOR_YELLOW,0.10474287977201638,0.7462119200736044
uv_visor,UV_VISOR_RED,UV_VISOR_AMBER,2.0004533454732476,0.15725839945108272
uv_visor,UV_VISOR_RED,UV_VISOR_MAGENTA,0.0017771878339550213,0.9663739441640435
uv_visor,UV_VISOR_RED,UV_VISOR_ORANGE,0.03265366065862049,0.8566012490267817
uv_visor,UV_VISOR_RED,UV_VISOR_YELLOW,0.29675476495162795,0.5859265120248803
uv_visor,UV_VISOR_YELLOW,UV_VISOR_AMBER,0.8704215338839741,0.35084314492411156
uv_visor,UV_VISOR_YELLOW,UV_VISOR_MAGENTA,7.894160155183072,0.004961392795660509
uv_visor,UV_VISOR_YELLOW,UV_VISOR_ORANGE,0.004653498947809964,0.9456135183152473
uv_visor,UV_VISOR_YELLOW,UV_VISOR_RED,0.07002969966346156,0.7912946339098132
