label,beta_overrides,F1_pnl,F2_pnl,F3_pnl,F4_pnl,F5_pnl,fold_min,fold_median,fold_mean,total_3day,sharpe_3day,max_dd_3day,elapsed_s,GALAXY_SOUNDS_BLACK_HOLES_3day,GALAXY_SOUNDS_BLACK_HOLES_d2,GALAXY_SOUNDS_BLACK_HOLES_d3,GALAXY_SOUNDS_BLACK_HOLES_d4,MICROCHIP_OVAL_3day,MICROCHIP_OVAL_d2,MICROCHIP_OVAL_d3,MICROCHIP_OVAL_d4,MICROCHIP_SQUARE_3day,MICROCHIP_SQUARE_d2,MICROCHIP_SQUARE_d3,MICROCHIP_SQUARE_d4,MICROCHIP_TRIANGLE_3day,MICROCHIP_TRIANGLE_d2,MICROCHIP_TRIANGLE_d3,MICROCHIP_TRIANGLE_d4,OXYGEN_SHAKE_CHOCOLATE_3day,OXYGEN_SHAKE_CHOCOLATE_d2,OXYGEN_SHAKE_CHOCOLATE_d3,OXYGEN_SHAKE_CHOCOLATE_d4,OXYGEN_SHAKE_EVENING_BREATH_3day,OXYGEN_SHAKE_EVENING_BREATH_d2,OXYGEN_SHAKE_EVENING_BREATH_d3,OXYGEN_SHAKE_EVENING_BREATH_d4,PANEL_1X4_3day,PANEL_1X4_d2,PANEL_1X4_d3,PANEL_1X4_d4,ROBOT_DISHES_3day,ROBOT_DISHES_d2,ROBOT_DISHES_d3,ROBOT_DISHES_d4,SLEEP_POD_POLYESTER_3day,SLEEP_POD_POLYESTER_d2,SLEEP_POD_POLYESTER_d3,SLEEP_POD_POLYESTER_d4,UV_VISOR_AMBER_3day,UV_VISOR_AMBER_d2,UV_VISOR_AMBER_d3,UV_VISOR_AMBER_d4
3b_MICROCHIP_OVAL_b0.15,"{""MICROCHIP_OVAL"": 0.15}",456258,446188,456258,489823,456258,446188,456258,460957.0,1392268,20.3123,24766,59.1,,,,,10273,4638,4599,1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_MICROCHIP_OVAL_b0.2,"{""MICROCHIP_OVAL"": 0.2}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,50.0,,,,,10285,4638,4599,1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_MICROCHIP_OVAL_b0.3,"{""MICROCHIP_OVAL"": 0.3}",456258,446962,456258,489823,456258,446962,456258,461111.8,1393042,20.5948,24752,48.9,,,,,11047,4638,4599,1810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_MICROCHIP_OVAL_b0.4,"{""MICROCHIP_OVAL"": 0.4}",456860,447432,456860,489881,456860,447432,456860,461578.6,1394173,20.8487,24724,49.4,,,,,12178,4696,5201,2281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_MICROCHIP_OVAL_b0.6,"{""MICROCHIP_OVAL"": 0.6}",452517,448458,452517,488543,452517,448458,452517,458910.4,1389518,20.9912,24682,52.4,,,,,7522,3358,858,3306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_MICROCHIP_SQUARE_b0.05,"{""MICROCHIP_SQUARE"": 0.05}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,54.0,,,,,,,,,37465,11090,25487,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_MICROCHIP_SQUARE_b0.1,"{""MICROCHIP_SQUARE"": 0.1}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,57.8,,,,,,,,,37465,11090,25487,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_MICROCHIP_SQUARE_b0.15,"{""MICROCHIP_SQUARE"": 0.15}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,57.9,,,,,,,,,37465,11090,25487,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_MICROCHIP_SQUARE_b0.2,"{""MICROCHIP_SQUARE"": 0.2}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,51.5,,,,,,,,,37465,11090,25487,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_MICROCHIP_SQUARE_b0.3,"{""MICROCHIP_SQUARE"": 0.3}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,67.2,,,,,,,,,37465,11090,25487,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_MICROCHIP_SQUARE_b0.4,"{""MICROCHIP_SQUARE"": 0.4}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,66.9,,,,,,,,,37465,11090,25487,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_MICROCHIP_SQUARE_b0.6,"{""MICROCHIP_SQUARE"": 0.6}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,77.8,,,,,,,,,37465,11090,25487,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3b_MICROCHIP_TRIANGLE_b0.05,"{""MICROCHIP_TRIANGLE"": 0.05}",456258,446104,456258,489823,456258,446104,456258,460940.2,1392185,20.2822,24766,60.1,,,,,,,,,,,,,12214,4961,-938,8191,,,,,,,,,,,,,,,,,,,,,,,,
3b_MICROCHIP_TRIANGLE_b0.1,"{""MICROCHIP_TRIANGLE"": 0.1}",456258,446104,456258,489823,456258,446104,456258,460940.2,1392185,20.2822,24766,45.2,,,,,,,,,,,,,12214,4961,-938,8191,,,,,,,,,,,,,,,,,,,,,,,,
3b_MICROCHIP_TRIANGLE_b0.15,"{""MICROCHIP_TRIANGLE"": 0.15}",456258,446104,456258,489823,456258,446104,456258,460940.2,1392185,20.2822,24766,50.9,,,,,,,,,,,,,12214,4961,-938,8191,,,,,,,,,,,,,,,,,,,,,,,,
3b_MICROCHIP_TRIANGLE_b0.2,"{""MICROCHIP_TRIANGLE"": 0.2}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,56.6,,,,,,,,,,,,,12309,4961,-938,8286,,,,,,,,,,,,,,,,,,,,,,,,
3b_MICROCHIP_TRIANGLE_b0.3,"{""MICROCHIP_TRIANGLE"": 0.3}",455606,446200,455606,489823,455606,446200,455606,460568.2,1391628,20.2057,24766,56.7,,,,,,,,,,,,,11657,4961,-1590,8286,,,,,,,,,,,,,,,,,,,,,,,,
3b_MICROCHIP_TRIANGLE_b0.4,"{""MICROCHIP_TRIANGLE"": 0.4}",455606,445967,455606,490059,455606,445967,455606,460568.8,1391632,20.0114,24712,48.9,,,,,,,,,,,,,11661,5197,-1590,8054,,,,,,,,,,,,,,,,,,,,,,,,
3b_MICROCHIP_TRIANGLE_b0.6,"{""MICROCHIP_TRIANGLE"": 0.6}",450656,445496,450656,485427,450656,445496,450656,456578.2,1381580,21.2047,24603,48.0,,,,,,,,,,,,,1609,565,-6539,7583,,,,,,,,,,,,,,,,,,,,,,,,
3b_OXYGEN_SHAKE_CHOCOLATE_b0.05,"{""OXYGEN_SHAKE_CHOCOLATE"": 0.05}",455950,446200,455950,489823,455950,446200,455950,460774.6,1391972,20.2647,24766,64.2,,,,,,,,,,,,,,,,,-847,9410,3634,-13891,,,,,,,,,,,,,,,,,,,,
3b_OXYGEN_SHAKE_CHOCOLATE_b0.1,"{""OXYGEN_SHAKE_CHOCOLATE"": 0.1}",456352,446200,456352,489823,456352,446200,456352,461015.8,1392374,20.3323,24766,49.8,,,,,,,,,,,,,,,,,-445,9410,4036,-13891,,,,,,,,,,,,,,,,,,,,
3b_OXYGEN_SHAKE_CHOCOLATE_b0.15,"{""OXYGEN_SHAKE_CHOCOLATE"": 0.15}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,52.0,,,,,,,,,,,,,,,,,-539,9410,3942,-13891,,,,,,,,,,,,,,,,,,,,
3b_OXYGEN_SHAKE_CHOCOLATE_b0.2,"{""OXYGEN_SHAKE_CHOCOLATE"": 0.2}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,60.2,,,,,,,,,,,,,,,,,-539,9410,3942,-13891,,,,,,,,,,,,,,,,,,,,
3b_OXYGEN_SHAKE_CHOCOLATE_b0.3,"{""OXYGEN_SHAKE_CHOCOLATE"": 0.3}",456258,446200,456258,489823,456258,446200,456258,460959.4,1392280,20.3167,24766,60.3,,,,,,,,,,,,,,,,,-539,9410,3942,-13891,,,,,,,,,,,,,,,,,,,,
